Time(s) RTT_Flux1 RTT_Flux2
1.41384 0.10856 NaN
4.74648 0.09816 NaN
0.25736 0.042 NaN
4.56344 0.09816 NaN
0.24072 0.042 NaN
1.53864 0.10856 NaN
0.3156 0.042 NaN
0.54856 0.10856 NaN
4.68824 0.10648 NaN
2.81912 0.10648 NaN
0.36552 0.07528 NaN
3.87576 0.03896 NaN
3.40984 0.10648 NaN
4.97944 0.10648 NaN
4.28888 0.0732 NaN
2.88568 0.08984 NaN
0.11688 0.03896 NaN
0.5236 0.10024 NaN
1.91304 0.10856 NaN
1.51368 0.10856 NaN
3.08536 0.10648 NaN
4.0236 0.0556 NaN
1.80488 0.10856 NaN
3.31 0.10648 NaN
0.34056 0.05864 NaN
1.62184 0.10856 NaN
4.95448 0.10648 NaN
0.63176 0.10856 NaN
4.77144 0.09816 NaN
2.90232 0.08984 NaN
1.74664 0.10856 NaN
0.75656 0.10856 NaN
0.57352 0.10856 NaN
4.04856 0.0556 NaN
0.86472 0.10856 NaN
2.62776 0.0732 NaN
2.686 0.0732 NaN
2.91896 0.09816 NaN
0.98952 0.10856 NaN
2.73592 0.10648 NaN
1.01448 0.10856 NaN
1.3556 0.10856 NaN
3.2268 0.10648 NaN
1.13928 0.10856 NaN
2.4956 0.0556 NaN
3.99864 0.04728 NaN
1.24744 0.10856 NaN
1.73 0.10856 NaN
3.29336 0.10648 NaN
4.408 NaN 0.12928
9.25696 NaN 0.12928
5.89552 NaN 0.12928
9.07392 NaN 0.12928
9.19872 NaN 0.12928
9.48992 NaN 0.12928
6.56752 NaN 0.12928
8.6584 NaN 0.12928
8.46752 NaN 0.12928
9.3984 NaN 0.12928
8.28496 NaN 0.12928
9.63136 NaN 0.12928
9.75616 NaN 0.12928
7.95312 NaN 0.12928
0.02096 NaN 0.12128
8.76608 NaN 0.12928
7.4304 NaN 0.12928
9.86432 NaN 0.12928
7.77056 NaN 0.12928
8.87424 NaN 0.12928
8.62512 NaN 0.12928
9.46496 NaN 0.12928
9.28192 NaN 0.12928
8.99904 NaN 0.12928
8.69168 NaN 0.12928
9.58976 NaN 0.12928
8.44256 NaN 0.12928
8.11904 NaN 0.12928
8.816 NaN 0.12928
9.69792 NaN 0.12928
9.1488 NaN 0.12928
7.9032 NaN 0.12928
2.78016 NaN 0.12928
8.5008 NaN 0.12928
7.42208 NaN 0.12928
8.97408 NaN 0.12928
5.90384 NaN 0.12928
8.7744 NaN 0.12928
8.3432 NaN 0.12928
7.88656 NaN 0.12928
9.67296 NaN 0.12928
7.80384 NaN 0.12928
8.90752 NaN 0.12928
0.57824 NaN 0.12928
8.7 NaN 0.12928
7.99472 NaN 0.12928
0.17888 NaN 0.12928
7.0736 NaN 0.12928
6.244 NaN 0.12928
9.34016 NaN 0.12928
8.66672 NaN 0.12928
7.23952 NaN 0.12928
7.05696 NaN 0.12928
9.57312 NaN 0.12928
6.72512 NaN 0.12928
9.17376 NaN 0.12928
2.81344 NaN 0.12928
7.1152 NaN 0.12928
5.74624 NaN 0.12928
9.29856 NaN 0.12928
7.64624 NaN 0.12928
5.56368 NaN 0.12928
8.89088 NaN 0.12928
7.91984 NaN 0.12928
7.46368 NaN 0.12928
8.31824 NaN 0.12928
8.38432 NaN 0.12928
3.01312 NaN 0.12928
8.13568 NaN 0.12928
2.20064 NaN 0.12928
8.6168 NaN 0.12928
8.60016 NaN 0.12928
6.89104 NaN 0.12928
7.08192 NaN 0.12928
9.78112 NaN 0.12928
9.3568 NaN 0.12928
7.62128 NaN 0.12928
8.79104 NaN 0.12928
9.38176 NaN 0.12928
8.4592 NaN 0.12928
9.79776 NaN 0.12928
6.9576 NaN 0.12928
8.55856 NaN 0.12928
6.76672 NaN 0.12928
6.07808 NaN 0.12928
6.06144 NaN 0.12928
7.57968 NaN 0.12928
2.3808 NaN 0.12928
8.9824 NaN 0.12928
7.2312 NaN 0.12928
2.97984 NaN 0.12928
9.44 NaN 0.12928
7.43872 NaN 0.12928
9.70624 NaN 0.12928
4.21664 NaN 0.12928
8.71616 NaN 0.12928
6.92432 NaN 0.12928
0.37024 NaN 0.12928
9.30688 NaN 0.12928
9.6064 NaN 0.12928
7.72064 NaN 0.12928
8.82432 NaN 0.12928
5.7296 NaN 0.12928
6.74176 NaN 0.12928
9.88096 NaN 0.11896
6.41824 NaN 0.12928
8.94912 NaN 0.12928
8.64176 NaN 0.12928
9.53984 NaN 0.12928
8.7328 NaN 0.12928
0.38688 NaN 0.12928
8.3016 NaN 0.12928
6.23568 NaN 0.12928
8.58352 NaN 0.12928
9.20704 NaN 0.12928
8.07744 NaN 0.12928
9.648 NaN 0.12928
7.09856 NaN 0.12928
9.024 NaN 0.12928
9.09056 NaN 0.12928
3.84512 NaN 0.12928
2.7968 NaN 0.12928
7.82048 NaN 0.12928
8.92416 NaN 0.12928
7.56304 NaN 0.12928
6.58416 NaN 0.12928
0.40352 NaN 0.12928
8.48416 NaN 0.12928
2.56384 NaN 0.12928
8.23504 NaN 0.12928
9.5648 NaN 0.12928
7.25616 NaN 0.12928
8.75776 NaN 0.12928
0.59488 NaN 0.12928
8.05248 NaN 0.12928
6.26064 NaN 0.12928
8.86592 NaN 0.12928
8.16064 NaN 0.12928
9.41504 NaN 0.12928
9.01568 NaN 0.12928
9.7728 NaN 0.12928
7.73728 NaN 0.12928
9.12384 NaN 0.12928
4.63264 NaN 0.12928
9.24864 NaN 0.12928
3.6704 NaN 0.12928
0.61152 NaN 0.12928
8.40928 NaN 0.12928
8.4176 NaN 0.12928
8.84096 NaN 0.12928
7.41376 NaN 0.12928
8.51744 NaN 0.12928
6.43488 NaN 0.12928
9.8144 NaN 0.12928
8.5752 NaN 0.12928
8.33488 NaN 0.12928
0.1872 NaN 0.12928
9.80608 NaN 0.12928
8.27664 NaN 0.12928
5.92048 NaN 0.12928
9.62304 NaN 0.12928
8.9408 NaN 0.12928
7.588 NaN 0.12928
9.22368 NaN 0.12928
8.74112 NaN 0.12928
9.51488 NaN 0.12928
9.33184 NaN 0.12928
7.76224 NaN 0.12928
9.63968 NaN 0.12928
6.78336 NaN 0.12928
9.45664 NaN 0.12928
9.74784 NaN 0.12928
8.68336 NaN 0.12928
8.43424 NaN 0.12928
6.916 NaN 0.12928
7.77888 NaN 0.12928
