# index   rtt_flux1   rtt_flux2
157 0.01832 0.01832
158 0.01832 0.05832
159 0.01832 0.05832
160 0.01832 0.05832
161 0.01832 0.01832
162 0.01832 0.01832
163 0.01832 0.01832
164 0.01832 0.01832
165 0.01832 0.01832
166 0.01832 0.01832
167 0.01832 0.05832
168 0.01832 0.05832
169 0.01832 0.05832
170 0.01832 0.01832
171 0.01832 0.01832
172 0.01832 0.01832
173 0.01832 0.01832
174 0.01832 0.01832
175 0.01832 0.01832
176 0.01832 0.01832
177 0.01832 0.01832
178 0.01832 0.05832
179 0.01832 0.05832
180 0.01832 0.05832
181 0.01832 0.05832
182 0.01832 0.01832
183 0.01832 0.01832
184 0.01832 0.01832
185 0.01832 0.01832
186 0.01832 0.01832
187 0.01832 0.01832
188 0.01832 0.01832
189 0.01832 0.01832
190 0.01832 0.01832
191 0.01832 0.01832
192 0.01832 0.05832
193 0.01832 0.05832
194 0.01832 0.05832
195 0.01832 0.05832
196 0.01832 0.05832
197 0.01832 0.01832
198 0.01832 0.01832
199 0.01832 0.01832
200 0.01832 0.01832
201 0.01832 0.01832
202 0.01832 0.01832
203 0.01832 0.01832
204 0.01832 0.01832
205 0.01832 0.01832
206 0.01832 0.01832
207 0.01832 0.01832
208 0.01832 0.01832
209 0.01832 0.05832
210 0.01832 0.05832
211 0.01832 0.05832
212 0.01832 0.05832
213 0.01832 0.05832
214 0.01832 0.05832
215 0.01832 0.01832
216 0.01832 0.01832
217 0.01832 0.01832
218 0.01832 0.01832
219 0.01832 0.01832
220 0.01832 0.01832
221 0.01832 0.01832
222 0.01832 0.01832
223 0.01832 0.01832
224 0.01832 0.01832
225 0.01832 0.01832
226 0.01832 0.01832
227 0.01832 0.01832
228 0.01832 0.01832
229 0.01832 0.05832
230 0.01832 0.05832
231 0.01832 0.05832
232 0.01832 0.05832
233 0.01832 0.05832
234 0.01832 0.05832
235 0.01832 0.05832
236 0.01832 0.01832
237 0.01832 0.01832
238 0.01832 0.01832
239 0.01832 0.01832
240 0.01832 0.01832
241 0.01832 0.01832
242 0.01832 0.01832
243 0.01832 0.01832
244 0.01832 0.01832
245 0.01832 0.01832
246 0.01832 0.01832
247 0.01832 0.01832
248 0.01832 0.01832
249 0.01832 0.01832
250 0.01832 0.05832
251 0.01832 0.05832
252 0.01832 0.05832
253 0.01832 0.05832
254 0.01832 0.05832
255 0.01832 0.05832
256 0.01832 0.05832
257 0.01832 0.01832
258 0.01832 0.01832
259 0.01832 0.01832
260 0.01832 0.01832
261 0.01832 0.01832
262 0.01832 0.01832
263 0.01832 0.01832
264 0.01832 0.01832
265 0.01832 0.01832
266 0.01832 0.01832
267 0.01832 0.01832
268 0.01832 0.01832
269 0.01832 0.01832
270 0.01832 0.01832
271 0.01832 0.01832
272 0.01832 0.01832
273 0.01832 0.05832
